,word,woman,man,crossterm_similarity,woman_similarity,man_similarity,crossterm_relation,woman_relation,man_relation,word_sentiment,woman_sentiment,man_sentiment,woman_alignment,man_alignment,woman_alignment-dual,man_alignment-dual
50,preferred,favored,choice,0.6251021027565002,0.6312574744224548,0.6803338527679443,,,,0.75,0.25,0.625,0.6973656415939331,0.6435545086860657,0.10697939246892929,0.005680824164301157
51,previous,earlier,earlier,1.0,0.830305814743042,0.830305814743042,synonim,,,0.0,0.0,0.0,0.6973479390144348,0.7171133160591125,-0.016615550965070724,0.016615550965070724
52,timely,satisfactory,quick,0.38695040345191956,0.6321892142295837,0.6180155277252197,,,,0.0,0.125,0.0,0.7567678093910217,0.7186304926872253,0.16377638280391693,0.13432152569293976
53,large,small,small,1.0,0.9333422780036926,0.9333422780036926,synonim,,,0.125,-0.125,-0.125,0.8066360354423523,0.7808817028999329,0.11206822842359543,-0.11206822842359543
54,senior,associate,chief,0.6273949146270752,0.6952746510505676,0.7445421814918518,,,,0.0,-0.375,0.375,0.6621176600456238,0.6864590048789978,0.10645321756601334,0.157415509223938
55,federal,approved,criminal,0.35814717411994934,0.6763299703598022,0.6576570272445679,,,,0.0,0.0,-0.875,0.668347179889679,0.6298089027404785,0.10189955681562424,0.17515796422958374
56,equivalent,corresponding,zero,0.5341216325759888,0.6215254664421082,0.606285810470581,,,,0.125,0.0,-0.5,0.6912503838539124,0.6547150015830994,0.08611047267913818,0.1404862254858017
57,advanced,advancing,developed,0.23873156309127808,0.6143864393234253,0.6174597144126892,,,,-0.25,0.0,0.375,0.6728299260139465,0.6526477932929993,0.08325254917144775,0.08156042546033859
58,limited,restricted,well,0.4660126566886902,0.7350679039955139,0.6899985074996948,,,,-0.125,0.0,0.625,0.7765754461288452,0.6606376767158508,0.19088225066661835,0.02532649226486683
59,additional,required,extra,0.6168453097343445,0.7235545516014099,0.7986435890197754,,,,0.0,0.125,-0.5,0.7214217782020569,0.805934727191925,0.08988283574581146,0.22665254771709442
60,individual,female,different,0.4510267674922943,0.5047318339347839,0.7020230889320374,,,,0.0,0.0,0.0,0.45811131596565247,0.6707049012184143,0.3369230031967163,0.21220245957374573
61,right,left,back,0.8155545592308044,0.7679621577262878,0.7733756899833679,,,,0.625,-0.375,0.0,0.5548576712608337,0.5981029272079468,-0.013735436834394932,0.09869379550218582
62,applicable,norms,defined,0.5209309458732605,0.6036021113395691,0.6174088716506958,,,,0.5,0.0,0.625,0.741840660572052,0.7337632775306702,0.10154055058956146,0.09821698069572449
63,relevant,pertinent,important,0.4206511080265045,0.7175878882408142,0.6763803362846375,,,,0.0,0.375,0.875,0.7767305374145508,0.7344081997871399,0.023082703351974487,0.191050723195076
64,altec,unmated,mercers,0.20107139647006989,0.38825005292892456,0.5026522278785706,,,,0.0,0.0,0.0,0.7962017059326172,0.8092465400695801,0.15579861402511597,0.2009771466255188
65,public,private,private,1.0,0.8077554106712341,0.8077554106712341,synonim,,,0.0,0.125,0.125,0.675171434879303,0.6844722032546997,-0.016454612836241722,0.016454612836241722
66,potential,possible,possible,1.0,0.8136930465698242,0.8136930465698242,synonim,,,0.0,0.0,0.0,0.7072415351867676,0.7171227335929871,0.0062729776836931705,-0.0062729776836931705
67,complete,required,full,0.6937823295593262,0.7236425876617432,0.798875093460083,,,,0.0,0.0,0.0,0.7268986701965332,0.6808469295501709,0.18304799497127533,-0.044078998267650604
68,real,interest,good,0.5830269455909729,0.6506490707397461,0.689491331577301,,,,0.0,0.0,0.5,0.6670510172843933,0.47495579719543457,0.24358049035072327,-0.09035226702690125
69,ideal,beauty,perfect,0.48195818066596985,0.5494115948677063,0.7109158635139465,,hyp,,0.0,0.5,0.0,0.5384379029273987,0.653018593788147,0.21840102970600128,0.15578387677669525
70,flexible,rigid,rigid,1.0,0.7064829468727112,0.7064829468727112,synonim,,,0.0,-0.75,-0.75,0.7196915745735168,0.7322214245796204,-0.023350536823272705,0.023350536823272705
71,effective,appropriate,necessary,0.7912397384643555,0.7309158444404602,0.7439780831336975,,,,0.125,0.0,0.625,0.714432418346405,0.7020151615142822,0.07646124064922333,-0.029528837651014328
72,dental,surgical,medical,0.6421661376953125,0.6949082612991333,0.6737662553787231,,,,0.0,0.0,0.0,0.6810057759284973,0.6878112554550171,-0.1278064250946045,0.13791142404079437
73,daily,weekly,newspaper,0.7061811685562134,0.8103675842285156,0.831354022026062,,,,0.0,0.0,0.0,0.7550482153892517,0.7319799661636353,0.057421766221523285,0.0002341312065254897
74,safe,shelter,better,0.36979833245277405,0.647428572177887,0.658557116985321,,,,0.625,0.0,0.5,0.6418085694313049,0.6053643226623535,0.12013611197471619,0.16192220151424408
75,outstanding,achievement,exceptional,0.620898962020874,0.7136213779449463,0.7162880897521973,,,,0.0,0.0,0.125,0.6996700763702393,0.7052658200263977,0.04002450034022331,0.03347904980182648
76,affirmative,gays,penalty,0.26651808619499207,0.5980975031852722,0.46378690004348755,,,,0.375,0.125,0.0,0.7290344834327698,0.6481049656867981,0.26506540179252625,0.35902783274650574
77,online,internet,internet,1.0,0.8931971192359924,0.8931971192359924,synonim,,,0.0,0.0,0.0,0.7942463159561157,0.8268799781799316,-0.08364827185869217,0.08364827185869217
78,regulatory,antitrust,regulation,0.4525624215602875,0.6308425068855286,0.7231171727180481,,,,0.0,0.0,-0.125,0.71039217710495,0.782916784286499,0.09219956398010254,0.16392017900943756
79,retail,consumer,market,0.7461300492286682,0.768378496170044,0.7544736862182617,,,,0.0,0.0,0.0,0.7843866348266602,0.7616696953773499,0.14862020313739777,0.13995155692100525
80,direct,provide,use,0.7489991188049316,0.7051113247871399,0.6954541206359863,,,,0.0,0.0,0.0,0.6898213624954224,0.6400445699691772,0.0874536782503128,0.03996867313981056
81,minimum,requirement,maximum,0.50734543800354,0.7202401161193848,0.8359513282775879,,,,0.0,0.0,-0.25,0.7632008790969849,0.8190276622772217,0.21384809911251068,0.22035038471221924
82,north,south,south,1.0,0.9215717911720276,0.9215717911720276,synonim,,,0.0,0.0,0.0,0.8153338432312012,0.8127536773681641,0.027960961684584618,-0.027960961684584618
83,complex,structure,structure,1.0,0.7413447499275208,0.7413447499275208,synonim,,,0.0,0.0,0.0,0.7263798117637634,0.6789303421974182,0.09425576776266098,-0.09425576776266098
84,plus,addition,extra,0.6091884970664978,0.7053933143615723,0.7441763877868652,,,,0.625,0.0,0.0,0.712577223777771,0.7246989011764526,0.1507059931755066,0.0717124193906784
85,operational,maintenance,tactical,0.39811375737190247,0.6663780212402344,0.6708663702011108,,,,0.0,0.5,0.0,0.7560889720916748,0.7704764604568481,0.15720713138580322,0.14373120665550232
86,sexual,homosexual,physical,0.3301123082637787,0.7544201016426086,0.626846969127655,,,,0.25,0.0,0.0,0.6448458433151245,0.62119460105896,-0.02416742593050003,0.2912661135196686
87,analytical,empirical,mathematical,0.6940569281578064,0.6746364831924438,0.6575897336006165,,,,0.0,0.0,0.375,0.7808385491371155,0.723612368106842,0.1147611066699028,0.021016040816903114
88,interested,concerned,aware,0.8511241674423218,0.7432023882865906,0.741364598274231,,,,0.625,0.125,0.5,0.6503670811653137,0.6650357246398926,-0.025204317644238472,0.039166200906038284
89,english,welsh,scottish,0.7923769354820251,0.7520771026611328,0.6993110179901123,,,,0.0,0.0,0.0,0.6595544815063477,0.6483337879180908,-0.016245363280177116,0.12974709272384644
90,extensive,substantial,significant,0.8876032829284668,0.6601390838623047,0.6723299622535706,,,,0.0,0.0,0.375,0.6994075179100037,0.691355288028717,0.006190166808664799,0.03787142410874367
91,valid,invalid,definite,0.3247022330760956,0.7279605269432068,0.5824406147003174,,antonym,,0.125,-0.75,0.75,0.7684687376022339,0.7053442597389221,0.16042721271514893,0.16952331364154816
92,free,entry,right,0.44027942419052124,0.6107013821601868,0.6899129152297974,,,,0.375,0.0,0.0,0.625231921672821,0.5427270531654358,0.18379563093185425,0.015902535989880562
93,proper,adequate,appropriate,0.6819813251495361,0.7458199262619019,0.7660836577415466,,,,0.75,0.0,0.0,0.7452337741851807,0.7423551678657532,-0.008844035677611828,0.12063939869403839
94,regular,normal,usual,0.684243381023407,0.6238117814064026,0.661373496055603,,,,0.0,-0.5,0.125,0.6456728577613831,0.6539027094841003,0.18101873993873596,0.029146725311875343
95,heavy,heavier,light,0.49036091566085815,0.6759768128395081,0.6446366906166077,antonym,synonim,antonym,0.0,0.0,-0.25,0.700207531452179,0.5839678049087524,0.08997654169797897,-0.006236315704882145
96,united,american,made,0.5970608592033386,0.6888286471366882,0.6764817833900452,,,,0.0,0.0,0.0,0.6003136038780212,0.5791577100753784,0.20277634263038635,0.05443784222006798
97,central,eastern,main,0.5803897380828857,0.7699105143547058,0.7206674814224243,,,,0.0,0.0,0.25,0.7338981628417969,0.6377477049827576,0.1352740377187729,-0.029157942160964012
98,physical,mental,mental,1.0,0.8139288425445557,0.8139288425445557,synonim,antonym,antonym,0.0,0.125,0.125,0.7371712327003479,0.6781893968582153,0.11082319915294647,-0.11082319915294647
99,legal,constitutional,political,0.6189652681350708,0.7329408526420593,0.7083362936973572,,,,0.0,0.75,0.0,0.6798875331878662,0.6505047678947449,0.04414787515997887,0.1926889717578888
